City,Year,Avg_AQI
Ahmedabad,2015,310.9505703422053
Ahmedabad,2016,310.1623931623932
Ahmedabad,2017,558.768115942029
Ahmedabad,2018,622.2633053221289
Ahmedabad,2019,516.3522727272727
Ahmedabad,2020,242.0681818181818
Aizawl,2020,34.765765765765764
Amaravati,2017,192.51351351351352
Amaravati,2018,101.39102564102564
Amaravati,2019,98.48543689320388
Amaravati,2020,59.87978142076503
Amritsar,2017,148.06766917293234
Amritsar,2018,122.92592592592592
Amritsar,2019,109.5
Amritsar,2020,92.97701149425288
Bengaluru,2015,112.57342657342657
Bengaluru,2016,105.58404558404558
Bengaluru,2017,87.12087912087912
Bengaluru,2018,86.30747922437673
Bengaluru,2019,91.6027397260274
Bengaluru,2020,79.71584699453553
Bhopal,2019,162.6095238095238
Bhopal,2020,114.7514450867052
Brajrajnagar,2017,247.6
Brajrajnagar,2018,154.99615384615385
Brajrajnagar,2019,148.40062111801242
Brajrajnagar,2020,137.10743801652893
Chandigarh,2019,135.54700854700855
Chandigarh,2020,71.3956043956044
Chennai,2015,148.33333333333334
Chennai,2016,138.56586826347305
Chennai,2017,104.53739612188366
Chennai,2018,105.4904109589041
Chennai,2019,102.94246575342466
Chennai,2020,80.25136612021858
Coimbatore,2019,77.02659574468085
Coimbatore,2020,68.19871794871794
Delhi,2015,297.02465753424656
Delhi,2016,301.36986301369865
Delhi,2017,256.72752808988764
Delhi,2018,249.15890410958903
Delhi,2019,232.1041095890411
Delhi,2020,181.672131147541
Ernakulam,2020,92.359477124183
Gurugram,2016,226.71308016877637
Gurugram,2017,284.70212765957444
Gurugram,2018,234.1529411764706
Gurugram,2019,195.22252747252747
Gurugram,2020,158.65573770491804
Guwahati,2019,127.56089743589743
Guwahati,2020,161.50819672131146
Hyderabad,2015,143.4191176470588
Hyderabad,2016,124.24035608308606
Hyderabad,2017,112.32960893854748
Hyderabad,2018,97.55616438356165
Hyderabad,2019,93.98082191780821
Hyderabad,2020,78.17486338797814
Jaipur,2017,156.13812154696132
Jaipur,2018,150.02739726027397
Jaipur,2019,120.5123287671233
Jaipur,2020,105.12021857923497
Jorapokhar,2017,121.18518518518519
Jorapokhar,2018,185.21333333333334
Jorapokhar,2019,157.58745874587459
Jorapokhar,2020,145.3395061728395
Kochi,2020,104.28481012658227
Kolkata,2018,155.31553398058253
Kolkata,2019,143.9095890410959
Kolkata,2020,117.29508196721312
Lucknow,2015,202.23591549295776
Lucknow,2016,242.97305389221557
Lucknow,2017,237.62154696132598
Lucknow,2018,233.77260273972604
Lucknow,2019,202.56164383561645
Lucknow,2020,157.12568306010928
Mumbai,2018,102.61233480176212
Mumbai,2019,107.95068493150686
Mumbai,2020,103.56830601092896
Patna,2015,350.55555555555554
Patna,2016,252.32628398791542
Patna,2017,326.36805555555554
Patna,2018,233.6343490304709
Patna,2019,218.2590529247911
Patna,2020,162.2513661202186
Shillong,2019,44.476190476190474
Shillong,2020,57.929577464788736
Talcher,2018,185.744769874477
Talcher,2019,169.02310231023102
Talcher,2020,160.69230769230768
Thiruvananthapuram,2017,68.61146496815287
Thiruvananthapuram,2018,83.46260387811634
Thiruvananthapuram,2019,76.23646723646723
Thiruvananthapuram,2020,66.46448087431693
Visakhapatnam,2016,103.97604790419162
Visakhapatnam,2017,143.0943396226415
Visakhapatnam,2018,122.81901840490798
Visakhapatnam,2019,123.44281524926686
Visakhapatnam,2020,84.68539325842697
